TIMER, TGTPOS, TGTVEL, TGTFF, CURPOS, CURVEL, CURCUR
0, 0, 0, 0, 4, -7,  -112
50, 70, 0, 0, -37, -7,  40
100, 99, 0, 0, 19, 156,  28
150, 70, 0, 0, 123, 118,  -93
201, -1, 0, 0, 93, -170,  -30
251, -71, 0, 0, 36, 14,  8
301, -99, 0, 0, -24, -207,  -26
351, -69, 0, 0, -120, -71,  83
401, 1, 0, 0, -96, 144,  43
451, 71, 0, 0, -39, 54,  -9
502, 99, 0, 0, 28, 147,  0
552, 68, 0, 0, 116, 101,  -77
602, -2, 0, 0, 95, -120,  -39
652, -72, 0, 0, 36, -48,  3
702, -99, 0, 0, -31, -170,  -3
751, -70, 0, 0, -114, -100,  70
802, 2, 0, 0, -101, 78,  60
852, 72, 0, 0, -43, 121,  -3
902, 99, 0, 0, 38, 144,  -6
952, 69, 0, 0, 109, 75,  -63
1002, -2, 0, 0, 98, -80,  -49
1052, -72, 0, 0, 41, -80,  -8
1101, -99, 0, 0, -41, -173,  3
1151, -70, 0, 0, -106, -77,  48
1201, 0, 0, 0, -102, 43,  61
1251, 71, 0, 0, -49, 130,  11
1301, 99, 0, 0, 40, 150,  -13
1352, 69, 0, 0, 106, 51,  -51
1402, -2, 0, 0, 97, -56,  -37
1452, -72, 0, 0, 47, -106,  -23
1502, -99, 0, 0, -48, -184,  23
1552, -69, 0, 0, -103, -13,  44
1602, 1, 0, 0, -104, -7,  51
1652, 71, 0, 0, -57, 176,  51
1702, 99, 0, 0, 49, 168,  -28
1752, 69, 0, 0, 104, -10,  -42
1802, -1, 0, 0, 95, 16,  -19
1852, -71, 0, 0, 54, -141,  -37
1901, -99, 0, 0, -56, -164,  27
1952, -69, 0, 0, -98, 14,  40
2002, 1, 0, 0, -97, -10,  18
2052, 71, 0, 0, -61, 118,  63
2102, 99, 0, 0, 47, 232,  -27
2152, 69, 0, 0, 109, -45,  -62
2202, -1, 0, 0, 89, -16,  -5
2253, -72, 0, 0, 58, -106,  -56
2303, -99, 0, 0, -55, -213,  30
2353, -68, 0, 0, -105, 40,  55
2403, 2, 0, 0, -93, -1,  9
2453, 72, 0, 0, -62, 101,  90
2502, 99, 0, 0, 46, 220,  -24
2552, 69, 0, 0, 114, -48,  -72
2602, -1, 0, 0, 85, -36,  4
2652, -71, 0, 0, 57, -36,  -46
2702, -99, 0, 0, -49, -280,  24
2751, -71, 0, 0, -110, 43,  62
2801, 0, 0, 0, -87, 14,  -6
2851, 70, 0, 0, -69, 60,  106
2901, 99, 0, 0, 34, 287,  -3
2951, 71, 0, 0, 127, -45,  -111
3001, 0, 0, 0, 73, -88,  31
3050, -68, 0, 0, 64, 25,  -51
3100, -99, 0, 0, -39, -344,  1
3150, -72, 0, 0, -122, 83,  99
3200, -2, 0, 0, -74, 78,  -44
3250, 68, 0, 0, -65, -13,  42
3300, 99, 0, 0, 21, 325,  21
3349, 73, 0, 0, 135, -13,  -134
