TIMER, TGTPOS, TGTVEL, TGTFF, CURPOS, CURVEL, CURCUR
0, 0, 0, 0, 210, -4,  131
50, 92, 0, 0, -84, 31,  176
100, 70, 0, 0, 39, 392,  15
150, -38, 0, 0, 174, 57,  -327
201, -99, 0, 0, 74, -481,  -204
250, -38, 0, 0, -164, -114,  245
300, 70, 0, 0, -77, 397,  27
350, 92, 0, 0, 30, -85,  -32
400, 0, 0, 0, 84, 252,  -1
450, -92, 0, 0, 124, -112,  -289
501, -69, 0, 0, -92, -519,  107
551, 39, 0, 0, -149, 284,  209
601, 99, 0, 0, 14, 168,  -50
651, 36, 0, 0, 71, 14,  -9
701, -71, 0, 0, 114, 133,  -130
751, -91, 0, 0, 1, -434,  -46
801, 1, 0, 0, -161, -16,  233
851, 92, 0, 0, -46, 395,  -20
901, 69, 0, 0, 71, 16,  -45
951, -39, 0, 0, 101, 115,  -35
1001, -99, 0, 0, 55, -196,  -126
1051, -37, 0, 0, -129, -248,  162
1101, 71, 0, 0, -106, 267,  185
1151, 92, 0, 0, 28, 173,  -28
1201, 0, 0, 0, 116, 92,  -86
1251, -92, 0, 0, 85, -164,  -121
1301, -70, 0, 0, -80, -306,  70
1352, 41, 0, 0, -131, 101,  158
1402, 99, 0, 0, -25, 203,  9
1452, 35, 0, 0, 109, 156,  -87
1501, -71, 0, 0, 108, -146,  -142
1551, -92, 0, 0, -28, -225,  15
1601, 0, 0, 0, -125, -50,  107
1652, 93, 0, 0, -83, 176,  125
1701, 70, 0, 0, 60, 307,  -26
1751, -38, 0, 0, 148, 11,  -242
1801, -99, 0, 0, 45, -335,  -88
1851, -38, 0, 0, -138, -103,  162
1900, 69, 0, 0, -86, 240,  63
1951, 92, 0, 0, 11, 80,  -3
2001, 0, 0, 0, 113, 258,  -78
2051, -92, 0, 0, 109, -219,  -232
2101, -70, 0, 0, -100, -356,  167
2151, 38, 0, 0, -125, 264,  162
2201, 99, 0, 0, -10, 69,  -16
2252, 36, 0, 0, 77, 182,  -31
2302, -72, 0, 0, 131, -27,  -230
2351, -92, 0, 0, -19, -469,  5
2401, 0, 0, 0, -150, 40,  181
2451, 92, 0, 0, -50, 272,  -9
2501, 71, 0, 0, 60, 69,  -36
2552, -39, 0, 0, 117, 115,  -95
2601, -99, 0, 0, 52, -277,  -101
2651, -39, 0, 0, -131, -207,  154
2701, 70, 0, 0, -104, 284,  162
