TIMER, TGTPOS, TGTVEL, TGTFF, CURPOS, CURVEL, CURCUR
0, 0, 0, 0, 266, 2,  0
75, 45, 0, 0, -96, 8,  140
150, 80, 0, 0, 80, -88,  -150
225, 98, 0, 0, 20, 139,  139
301, 94, 0, 0, 132, -103,  -161
376, 70, 0, 0, 78, 110,  50
450, 31, 0, 0, 105, -91,  -80
526, -16, 0, 0, 45, 104,  21
601, -59, 0, 0, 13, -74,  2
677, -89, 0, 0, -37, 98,  13
751, -99, 0, 0, -84, -53,  26
827, -88, 0, 0, -93, -1,  6
902, -57, 0, 0, -97, 2,  4
977, -14, 0, 0, -86, 5,  22
1051, 31, 0, 0, -36, -21,  -8
1127, 71, 0, 0, 5, 11,  -7
1202, 95, 0, 0, 52, -16,  -17
1278, 98, 0, 0, 86, -27,  -16
1353, 80, 0, 0, 101, -7,  -11
1428, 44, 0, 0, 97, -4,  -13
1503, -1, 0, 0, 68, 25,  -1
1579, -47, 0, 0, 22, 28,  4
1654, -82, 0, 0, -22, 5,  5
1729, -99, 0, 0, -68, 40,  16
1804, -94, 0, 0, -95, -36,  13
1880, -68, 0, 0, -97, -10,  -7
1955, -28, 0, 0, -96, 5,  37
2029, 17, 0, 0, -48, -7,  -12
2104, 60, 0, 0, -12, -1,  -2
2179, 89, 0, 0, 42, -18,  -19
2254, 99, 0, 0, 74, -1,  -10
2328, 88, 0, 0, 100, -16,  -19
2404, 57, 0, 0, 98, 5,  -5
2479, 13, 0, 0, 84, 5,  -21
2555, -33, 0, 0, 34, 37,  13
2629, -71, 0, 0, -7, -18,  2
2705, -95, 0, 0, -55, 34,  21
2780, -98, 0, 0, -86, 8,  15
2856, -79, 0, 0, -101, -4,  10
2931, -42, 0, 0, -97, -13,  12
3005, 2, 0, 0, -68, -13,  4
3080, 47, 0, 0, -21, -21,  -4
3155, 82, 0, 0, 23, 5,  -11
3230, 99, 0, 0, 65, -36,  -11
3304, 94, 0, 0, 96, 22,  -20
3380, 69, 0, 0, 98, -7,  -2
3455, 28, 0, 0, 95, -10,  -30
3531, -18, 0, 0, 48, 37,  12
3605, -60, 0, 0, 9, -10,  -2
3681, -90, 0, 0, -42, 31,  12
3756, -99, 0, 0, -77, -18,  11
3832, -87, 0, 0, -98, -1,  8
3906, -56, 0, 0, -98, -1,  4
3982, -12, 0, 0, -84, 2,  21
4057, 33, 0, 0, -35, -30,  -8
4133, 73, 0, 0, 9, 5,  -8
4207, 96, 0, 0, 52, -13,  -9
4283, 98, 0, 0, 90, -16,  -26
4358, 78, 0, 0, 99, 5,  -6
4434, 41, 0, 0, 97, -4,  -16
4508, -3, 0, 0, 64, -1,  6
4583, -48, 0, 0, 22, 22,  3
4658, -82, 0, 0, -26, -16,  5
4734, -99, 0, 0, -67, 14,  12
4809, -93, 0, 0, -96, -21,  16
4883, -68, 0, 0, -97, -4,  -4
4958, -27, 0, 0, -95, -10,  29
5033, 19, 0, 0, -50, 2,  -9
5108, 61, 0, 0, -9, -18,  -4
5182, 90, 0, 0, 43, -18,  -16
5258, 99, 0, 0, 74, 25,  -10
5333, 87, 0, 0, 100, -30,  -20
5409, 55, 0, 0, 99, 14,  -7
5483, 12, 0, 0, 79, 22,  -8
5559, -34, 0, 0, 35, 22,  6
5634, -73, 0, 0, -10, -4,  2
5710, -96, 0, 0, -56, 11,  18
5784, -98, 0, 0, -88, 2,  20
5859, -78, 0, 0, -101, 16,  8
5934, -42, 0, 0, -97, 8,  9
6009, 3, 0, 0, -67, 16,  3
6083, 48, 0, 0, -22, -27,  -4
6158, 82, 0, 0, 25, -7,  -11
6233, 99, 0, 0, 65, -33,  -5
6308, 94, 0, 0, 97, 8,  -19
6382, 69, 0, 0, 97, 5,  2
6457, 28, 0, 0, 96, -1,  -40
6533, -18, 0, 0, 47, 19,  18
6608, -61, 0, 0, 11, 19,  -2
6683, -90, 0, 0, -44, 37,  13
6758, -99, 0, 0, -78, -33,  9
6834, -87, 0, 0, -98, 5,  10
6909, -55, 0, 0, -97, 14,  -1
6985, -11, 0, 0, -86, -1,  26
7059, 34, 0, 0, -32, -4,  -14
7134, 73, 0, 0, 8, -18,  -8
7209, 96, 0, 0, 56, -16,  -20
7284, 98, 0, 0, 86, -30,  -14
7358, 79, 0, 0, 103, -13,  -16
7433, 43, 0, 0, 96, -4,  -8
