TIMER, TGTPOS, TGTVEL, TGTFF, CURPOS, CURVEL, CURCUR
0, 0, 0, 0, -30, 11,  -18
75, 23, 0, 0, -34, 11,  15
150, 45, 0, 0, 20, 78,  -24
225, 64, 0, 0, 24, -30,  6
301, 81, 0, 0, 56, 63,  -12
376, 92, 0, 0, 70, 5,  -11
451, 98, 0, 0, 83, 2,  4
526, 99, 0, 0, 95, 8,  2
601, 95, 0, 0, 94, 2,  11
676, 85, 0, 0, 95, -7,  10
750, 70, 0, 0, 94, -1,  -6
825, 52, 0, 0, 82, 14,  -8
900, 31, 0, 0, 64, -18,  -4
975, 8, 0, 0, 46, -16,  -4
1049, -15, 0, 0, 23, -24,  -5
1124, -37, 0, 0, -1, 11,  -1
1199, -58, 0, 0, -22, -27,  1
1274, -75, 0, 0, -46, -4,  1
1348, -88, 0, 0, -53, -13,  -29
1423, -97, 0, 0, -87, -21,  11
1499, -99, 0, 0, -86, 8,  -13
1574, -97, 0, 0, -102, -16,  0
1649, -89, 0, 0, -100, 2,  0
1723, -76, 0, 0, -100, -16,  12
1799, -59, 0, 0, -85, 8,  3
1874, -38, 0, 0, -73, 16,  9
1950, -15, 0, 0, -57, 31,  11
2024, 7, 0, 0, -32, 22,  2
2099, 30, 0, 0, -7, -1,  4
2174, 51, 0, 0, 12, 11,  8
2250, 70, 0, 0, 42, -4,  -7
2324, 84, 0, 0, 44, 2,  34
2400, 94, 0, 0, 85, 66,  -25
2475, 99, 0, 0, 87, -10,  -7
2550, 98, 0, 0, 94, -4,  2
2624, 92, 0, 0, 94, 8,  11
2699, 81, 0, 0, 94, -4,  4
2774, 65, 0, 0, 91, -7,  -12
2849, 46, 0, 0, 81, -4,  -12
2923, 24, 0, 0, 54, -10,  6
2998, 1, 0, 0, 53, -16,  -41
3073, -22, 0, 0, 6, -50,  12
3148, -44, 0, 0, -2, 16,  -10
3222, -63, 0, 0, -35, -48,  11
3297, -80, 0, 0, -49, 16,  1
3373, -91, 0, 0, -65, -30,  -14
3448, -98, 0, 0, -87, 8,  2
3523, -99, 0, 0, -86, 5,  -21
3598, -95, 0, 0, -103, -7,  4
3674, -85, 0, 0, -99, -1,  2
3749, -71, 0, 0, -95, -1,  8
3824, -53, 0, 0, -85, 25,  11
3899, -31, 0, 0, -64, 5,  -3
3975, -8, 0, 0, -53, -10,  16
4050, 15, 0, 0, -26, 46,  9
4126, 37, 0, 0, 3, -4,  -8
4200, 58, 0, 0, 21, 25,  1
4276, 75, 0, 0, 46, 2,  -3
4351, 88, 0, 0, 61, 37,  12
4427, 97, 0, 0, 81, -4,  -4
4501, 99, 0, 0, 81, -1,  24
4577, 97, 0, 0, 105, 31,  -15
4652, 89, 0, 0, 101, -13,  -11
4727, 76, 0, 0, 100, 2,  -16
4801, 59, 0, 0, 83, -13,  -2
4876, 38, 0, 0, 73, -16,  -12
4952, 15, 0, 0, 53, -21,  -10
5027, -7, 0, 0, 31, -27,  -3
5102, -30, 0, 0, 5, -10,  -5
5177, -52, 0, 0, -12, -21,  -15
5253, -70, 0, 0, -40, -21,  7
5328, -85, 0, 0, -54, 5,  -9
5403, -95, 0, 0, -76, -36,  2
5478, -99, 0, 0, -86, 5,  -7
5554, -98, 0, 0, -98, -13,  -5
5629, -92, 0, 0, -97, -4,  -8
5705, -80, 0, 0, -97, 16,  -2
5779, -64, 0, 0, -96, 8,  18
5855, -44, 0, 0, -72, 14,  -5
5930, -22, 0, 0, -72, 5,  39
6005, 0, 0, 0, -29, 57,  -17
6079, 23, 0, 0, -18, 2,  1
6154, 45, 0, 0, 9, 34,  4
6229, 65, 0, 0, 30, 2,  0
6305, 81, 0, 0, 51, 37,  -2
6379, 92, 0, 0, 72, -1,  -6
6455, 98, 0, 0, 78, -16,  16
6530, 99, 0, 0, 96, 16,  1
6605, 94, 0, 0, 99, 2,  -2
6679, 85, 0, 0, 99, 11,  -4
6754, 70, 0, 0, 92, -7,  -8
6829, 52, 0, 0, 86, -4,  -14
6904, 30, 0, 0, 62, -45,  2
6978, 8, 0, 0, 48, -7,  -8
7053, -15, 0, 0, 21, -42,  -4
7128, -38, 0, 0, 1, 22,  -7
7203, -58, 0, 0, -24, -50,  4
7277, -75, 0, 0, -46, 8,  -1
7352, -88, 0, 0, -52, -27,  -36
7427, -97, 0, 0, -87, -27,  14
